Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
70.343,4.92,31.76,40.88,0.83,30.31,23.25,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.573,2.36,-17.68,14.0,3.44,-17.1,15.26,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.547,1.24,1.68,14.36,1.2,2.37,13.24,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.213,-13.16,14.36,11.76,-11.01,10.09,5.83,20190930-1153-FRANKFURT_1-01-249,Strecksprung
96.962,-28.64,118.48,-56.72,-21.61,125.81,-53.01,0115-CHARI-05-57,Strecksprung
1.332,8.32,-14.56,4.4,5.43,-11.51,2.57,0115-CHARI-05-57,Strecksprung
1.38,3.12,-41.52,3.6,3.64,-45.98,4.8,0115-CHARI-05-57,Strecksprung
0.632,-4.64,-50.24,-13.6,-3.93,-50.38,-12.73,0115-CHARI-05-57,Strecksprung
98.159,27.64,197.24,35.24,18.03,210.87,15.11,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
3.297,127.36,75.44,171.44,127.75,76.72,174.39,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
10.069,50.8,-227.4,335.6,47.86,-226.49,330.49,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
10.462,-86.24,114.72,294.8,-86.84,111.6,300.53,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
85.024,-3.52,114.56,-29.84,-12.02,144.88,-13.11,20191003-1152-FRANKFURT_1-01-106,Salto C
11.005,-3.92,25.36,16.76,-1.7,42.88,1.31,20191003-1152-FRANKFURT_1-01-106,Salto C
9.118,-7.04,340.0,16.92,-3.6,346.22,11.43,20191003-1152-FRANKFURT_1-01-106,Salto C
4.16,1.96,96.28,-0.12,-0.45,101.54,-0.44,20191003-1152-FRANKFURT_1-01-106,Salto C
84.456,44.44,250.72,-12.96,38.39,254.86,-10.94,20191007-1150-FRANKFURT_2-01-225,Salto A
7.878,20.52,162.48,11.0,14.06,158.75,5.11,20191007-1150-FRANKFURT_2-01-225,Salto A
7.774,19.28,212.84,25.04,16.24,221.92,26.87,20191007-1150-FRANKFURT_2-01-225,Salto A
10.644,19.8,168.84,5.88,19.83,173.25,2.67,20191007-1150-FRANKFURT_2-01-225,Salto A
102.338,11.12,97.92,-13.32,13.03,111.74,-9.05,20191008-1207-FRANKFURT_2-01-240,Salto B
4.1,-18.8,-8.68,-7.44,-6.57,10.9,-12.69,20191008-1207-FRANKFURT_2-01-240,Salto B
17.902,66.44,550.04,24.04,74.87,514.57,-49.44,20191008-1207-FRANKFURT_2-01-240,Salto B
5.205,4.52,42.6,-41.48,5.33,36.82,-37.76,20191008-1207-FRANKFURT_2-01-240,Salto B
93.021,-6.24,196.2,42.4,13.31,189.31,24.95,20190930-1247-FRANKFURT_2-01-47,Salto C
10.222,-33.88,153.2,28.12,-30.84,160.45,17.72,20190930-1247-FRANKFURT_2-01-47,Salto C
12.967,13.72,339.2,0.36,10.72,344.91,-2.59,20190930-1247-FRANKFURT_2-01-47,Salto C
5.292,-14.12,152.16,4.0,-13.59,152.02,3.28,20190930-1247-FRANKFURT_2-01-47,Salto C
78.033,71.88,225.28,-32.84,59.38,260.43,-18.96,20191007-1150-FRANKFURT_2-01-86,Salto A
7.058,10.44,19.04,-47.88,8.39,46.98,-39.75,20191007-1150-FRANKFURT_2-01-86,Salto A
8.94,33.76,236.8,-1.08,29.84,234.16,-8.45,20191007-1150-FRANKFURT_2-01-86,Salto A
10.587,-35.2,214.72,7.12,-29.15,223.91,10.86,20191007-1150-FRANKFURT_2-01-86,Salto A
86.172,26.92,84.84,0.08,13.11,157.88,41.23,20191003-1152-FRANKFURT_1-01-103,Salto A
7.771,-6.08,58.28,6.2,-8.06,64.13,1.78,20191003-1152-FRANKFURT_1-01-103,Salto A
6.995,-23.92,317.12,-15.96,-18.16,316.68,-8.11,20191003-1152-FRANKFURT_1-01-103,Salto A
7.741,3.12,147.12,-17.0,0.1,153.37,-14.08,20191003-1152-FRANKFURT_1-01-103,Salto A
72.2,23.32,236.96,-78.48,27.6,263.02,-40.14,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
3.576,135.84,109.88,248.76,136.39,106.55,244.78,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
10.238,-15.8,-218.6,313.72,-13.43,-218.11,318.04,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
6.9,-50.96,108.88,220.0,-61.45,109.35,215.57,20190930-1153-FRANKFURT_1-01-241,Schraubensalto
114.95,-60.12,-6.28,-103.2,-49.55,-25.11,-32.41,20190930-1153-FRANKFURT_1-01-140,Cody C
35.06,73.0,720.68,43.44,72.35,698.07,50.31,20190930-1153-FRANKFURT_1-01-140,Cody C
6.296,2.28,189.44,-15.8,3.65,201.34,-12.58,20190930-1153-FRANKFURT_1-01-140,Cody C
7.042,-2.24,98.4,-0.32,-2.62,101.89,4.6,20190930-1153-FRANKFURT_1-01-140,Cody C
84.219,-12.36,49.04,-59.32,9.27,-37.04,21.34,20191007-1150-FRANKFURT_2-01-129,Barani A
8.033,-77.72,-63.68,153.28,-82.99,-71.22,156.02,20191007-1150-FRANKFURT_2-01-129,Barani A
13.812,-173.96,88.36,262.48,-185.93,85.78,276.8,20191007-1150-FRANKFURT_2-01-129,Barani A
10.2,-38.92,160.76,32.88,-36.21,163.1,35.12,20191007-1150-FRANKFURT_2-01-129,Barani A
90.77,-169.28,508.8,662.2,-12.71,-175.15,-26.3,20191001-1202-FRANKFURT_2-01-131,Salto A
8.689,-13.8,-122.88,-4.2,-14.33,-132.85,-7.77,20191001-1202-FRANKFURT_2-01-131,Salto A
7.159,7.16,-208.44,-8.88,6.04,-204.91,-9.21,20191001-1202-FRANKFURT_2-01-131,Salto A
7.503,20.68,-167.2,-3.2,20.08,-170.06,-3.96,20191001-1202-FRANKFURT_2-01-131,Salto A
99.008,18.8,40.08,25.12,15.63,60.95,16.58,0827-BK2-01-106,Salto A
8.05,8.88,164.88,-0.24,14.41,155.11,0.9,0827-BK2-01-106,Salto A
6.366,28.16,213.84,-14.4,26.02,215.75,-8.65,0827-BK2-01-106,Salto A
5.258,21.76,144.48,-17.04,20.91,144.69,-16.29,0827-BK2-01-106,Salto A
79.324,-18.92,71.04,12.84,-16.56,79.28,-7.35,20191003-1152-FRANKFURT_1-01-107,Strecksprung
