SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458,70.343,4.92,31.76,40.88,0.83,30.31,23.25,25.879,-14.04,22.28,-48.76,-15.88,22.01,-47.81,1.016,13.04,-12.96,17.72,12.8,-4.81,16.95,0.585,0.84,6.76,26.04,2.65,3.38,23.17,1.433,8.2,-22.2,24.16,7.37,-19.0,23.09,0.547,1.24,1.68,14.36,1.2,2.37,13.24,0.898,-3.88,10.6,-21.48,-5.07,10.71,-16.74,0.429,-1.24,14.28,13.16,-4.1,11.68,10.04,1.952,-2.84,-1.24,-22.92,-4.9,-2.18,-17.95,17.602,9.8,-80.52,-69.36,5.01,-77.02,-27.69
0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699,96.962,-28.64,118.48,-56.72,-21.61,125.81,-53.01,4.458,-14.88,141.84,-7.52,-18.33,117.16,-16.84,2.901,-27.52,-14.4,-55.84,-28.52,-10.27,-59.52,0.812,12.0,-11.68,-6.32,12.55,-11.3,-5.27,1.232,1.2,-50.0,-6.4,1.88,-48.78,-5.55,1.38,3.12,-41.52,3.6,3.64,-45.98,4.8,1.215,-8.24,-70.08,-10.8,-7.37,-71.06,-11.77,0.764,0.96,-58.16,-9.68,0.64,-59.14,-11.05,0.732,3.12,-45.04,-9.2,2.23,-44.95,-8.06,1.486,2.24,-6.64,-5.44,3.47,-15.31,-2.37
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373,98.159,27.64,197.24,35.24,18.03,210.87,15.11,5.635,79.92,180.6,116.04,66.89,191.78,123.83,4.145,60.68,93.48,187.12,67.56,91.5,185.61,3.032,182.8,42.92,206.52,182.17,40.22,205.3,4.323,178.2,-65.32,276.04,178.2,-65.87,272.75,10.147,49.08,-227.4,335.84,45.79,-227.25,330.63,12.201,-123.88,-174.92,331.2,-120.81,-171.88,331.62,12.496,-117.24,2.16,363.04,-120.27,1.36,363.68,8.65,-44.84,154.08,250.28,-45.05,149.58,248.9,7.405,94.2,169.28,161.88,87.27,174.79,150.71
20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577,85.024,-3.52,114.56,-29.84,-12.02,144.88,-13.11,16.582,4.04,131.72,19.92,6.63,125.04,1.97,12.533,22.88,-136.52,-7.72,22.23,-106.22,-18.88,11.212,-46.04,400.96,2.36,-38.76,380.4,0.03,31.614,-12.36,610.96,-20.56,-16.28,611.91,-10.33,9.118,-7.04,340.0,16.92,-3.6,346.22,11.43,3.561,-17.36,144.12,-7.64,-14.45,143.27,-10.44,4.478,0.76,109.8,-4.32,-0.25,108.74,-4.77,3.665,-4.76,82.2,-2.0,-4.95,90.62,-2.24,4.563,-6.52,154.64,1.04,-3.72,160.27,6.94
20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049,84.456,44.44,250.72,-12.96,38.39,254.86,-10.94,6.951,38.88,266.32,-36.52,36.42,277.66,-22.52,3.954,3.2,187.32,-13.16,6.11,196.97,-8.6,7.305,7.12,147.64,-10.68,6.78,150.96,-12.77,9.316,-8.44,236.28,-0.52,-7.03,234.45,11.11,7.774,19.28,212.84,25.04,16.24,221.92,26.87,8.771,28.96,179.96,21.96,29.4,186.7,22.18,8.774,15.48,170.32,22.08,18.32,170.43,22.57,9.769,8.72,201.64,-1.4,10.49,202.92,-5.6,2.581,35.4,241.96,-10.68,38.02,247.64,-2.0
20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095,102.338,11.12,97.92,-13.32,13.03,111.74,-9.05,5.932,-6.48,-15.0,81.2,1.16,7.59,21.52,15.544,-8.24,-210.76,62.68,-8.09,-195.1,24.67,13.649,-5.68,212.96,-19.16,3.37,212.12,-9.31,31.283,76.2,677.6,25.92,71.67,670.67,16.19,17.902,66.44,550.04,24.04,74.87,514.57,-49.44,4.736,22.48,104.76,-8.68,22.64,111.45,-17.67,4.044,12.72,61.16,-26.52,13.22,56.97,-25.32,4.93,-4.92,54.76,-52.76,-4.41,54.92,-49.68,2.551,-21.16,295.16,26.32,-19.73,294.28,29.41
20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501,93.021,-6.24,196.2,42.4,13.31,189.31,24.95,3.39,-35.64,58.32,44.64,-29.8,50.04,27.25,9.901,-44.84,58.88,-7.84,-35.23,59.05,-1.67,12.105,-15.4,315.32,1.04,-16.04,315.17,2.38,17.901,3.4,464.96,26.8,2.97,460.54,24.56,12.967,13.72,339.2,0.36,10.72,344.91,-2.59,5.229,-15.16,178.36,-8.48,-13.95,187.16,-9.09,4.734,-7.44,149.04,10.04,-8.27,152.87,7.5,5.088,-9.68,159.56,7.72,-9.56,164.73,7.37,3.618,28.0,171.32,-36.04,24.63,183.81,-10.44
20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759,78.033,71.88,225.28,-32.84,59.38,260.43,-18.96,13.764,43.52,276.08,24.76,39.65,271.8,9.96,2.03,-2.36,168.88,-36.56,5.47,167.98,-37.28,8.24,-16.68,99.28,-26.8,-16.57,99.42,-24.4,9.194,9.88,271.24,-16.92,8.2,255.02,-14.69,8.94,33.76,236.8,-1.08,29.84,234.16,-8.45,8.395,-2.08,207.56,-18.6,-2.26,207.08,-18.5,9.387,-21.24,207.4,25.08,-20.37,206.76,18.72,9.434,-17.76,248.4,-2.36,-19.87,244.58,2.88,4.53,-2.32,236.16,-1.2,-2.11,241.76,-5.83
20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563,86.172,26.92,84.84,0.08,13.11,157.88,41.23,11.502,-3.48,189.16,-30.32,-5.24,201.78,-9.1,4.702,-12.08,50.64,15.48,-11.03,52.48,3.84,9.754,9.48,148.6,12.56,3.18,154.22,4.35,10.283,-22.76,406.48,15.68,-15.58,401.97,12.8,6.995,-23.92,317.12,-15.96,-18.16,316.68,-8.11,7.115,0.8,169.36,-3.56,-0.53,169.8,-6.63,7.332,-8.56,145.56,-10.32,-6.22,142.88,-10.17,10.504,-22.84,196.6,-25.52,-20.08,199.85,-13.43,4.581,-37.48,284.96,-10.0,-35.5,293.84,-8.39
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813,72.2,23.32,236.96,-78.48,27.6,263.02,-40.14,21.638,9.44,239.32,129.28,15.45,239.1,118.0,4.51,68.32,121.76,224.16,82.57,119.77,213.12,3.678,171.6,60.36,240.44,174.27,52.11,237.18,7.146,141.72,-159.36,320.84,142.4,-159.71,319.73,10.239,-17.76,-219.32,313.44,-15.26,-217.6,318.7,11.537,-171.16,-59.92,373.36,-166.5,-55.44,368.04,8.597,-132.24,103.96,236.64,-132.7,96.97,243.72,6.228,-43.52,105.32,168.2,-38.93,108.98,169.25,8.961,28.04,190.16,90.0,29.27,187.99,83.8
