SprungID,Sprungtyp,avg_Acc_N_Fil,std_Acc_N_Fil,avg_Gyro_x_R,std_Gyro_x_R,avg_Gyro_y_R,std_Gyro_y_R,avg_Gyro_z_R,std_Gyro_z_R,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil
0827-BK1-01-4,Salto C,16.225,23.826,3.313,14.466,178.355,179.707,4.652,21.517,3.16,10.896,178.186,172.545,4.298,13.632
0827-BK1-01-5,Strecksprung,11.967,26.983,-0.987,12.515,-4.749,62.387,-3.347,16.062,-0.928,11.136,-4.58,59.008,-3.253,10.773
0827-BK1-01-7,Salto C,15.922,23.999,-2.338,14.484,175.6,168.682,3.869,20.008,-2.469,10.956,175.431,160.562,3.848,12.979
0827-BK1-01-9,Strecksprung,9.435,23.24,-0.785,14.318,3.758,60.461,-0.128,28.189,-0.816,11.991,3.648,54.606,0.107,20.672
0827-BK1-01-10,Salto C,15.782,24.496,-3.112,14.448,175.786,141.48,1.832,23.188,-3.031,11.524,175.723,135.185,1.561,14.592
0827-BK1-01-12,Strecksprung,10.15,24.256,0.002,15.348,5.91,66.666,1.471,30.827,-0.001,12.954,5.793,60.627,1.766,25.27
0827-BK1-01-13,Salto C,16.137,24.532,-1.803,14.62,170.566,155.746,0.88,23.235,-1.771,11.601,170.339,148.029,0.715,17.217
0827-BK1-01-16,Salto C,15.87,24.132,8.724,16.735,174.937,168.28,1.017,22.769,8.667,12.967,174.756,160.824,0.811,13.838
0827-BK1-01-19,Salto C,15.98,24.539,7.912,22.602,175.397,160.018,7.552,27.131,7.864,19.097,175.174,152.608,7.445,19.84
0827-BK1-01-22,Salto C,15.822,25.029,2.017,14.123,173.57,153.764,8.339,17.157,2.042,10.892,173.618,148.512,8.144,10.981
0827-BK1-01-24,Salto C,16.131,23.741,2.64,10.664,190.652,161.899,5.975,15.672,2.608,8.092,190.605,155.32,6.107,10.572
